id,title,date,thumbnail,views,likes,dislikes,comments
BDA6rPA0Fcs,Inside Neil Patrick Harris's Captivating Brownstone Home | Open Door,2019-12-11T17:00:05.000Z,https://i.ytimg.com/vi/BDA6rPA0Fcs/default.jpg,"['1958770', '28952', '1205', '1594']"
COddpjZ0W-s,Inside a $9.5M Hudson River Home With A Lofted Playhouse | On The Market,2019-12-10T17:00:03.000Z,https://i.ytimg.com/vi/COddpjZ0W-s/default.jpg,"['367187', '4508', '956', '796']"
28gPDPby3Po,Inside a Sand Dune Converted Into an Oceanfront Home | Unique Spaces | Architectural Digest,2019-11-27T17:00:05.000Z,https://i.ytimg.com/vi/28gPDPby3Po/default.jpg,"['396259', '6652', '199', '372']"
3aZT951ATYQ,Inside a $25M TriBeCa Penthouse With 360° Views | On The Market | Architectural Digest,2019-11-26T17:25:06.000Z,https://i.ytimg.com/vi/3aZT951ATYQ/default.jpg,"['722498', '12126', '328', '1028']"
jwfI8BlFwMw,Inside 'Try Guys' Ned Fulmer's Custom California Home | Open Door | Architectural Digest,2019-11-22T17:01:11.000Z,https://i.ytimg.com/vi/jwfI8BlFwMw/default.jpg,"['2911010', '85289', '1252', '3441']"
iG8Rc83iSy4,Inside a $35M Hollywood Mansion With a 2 Level Glass-Bottomed Pool | On The Market,2019-11-21T17:36:59.000Z,https://i.ytimg.com/vi/iG8Rc83iSy4/default.jpg,"['3025791', '48516', '1766', '3517']"
Atfcn2yCVsA,Architects Cut Through Roof To Convert Carriage House Into Sunbathed Home,2019-11-20T17:00:13.000Z,https://i.ytimg.com/vi/Atfcn2yCVsA/default.jpg,"['341364', '8895', '136', '208']"
O-b3eAo0Yv4,Designer Details The Conversion of a West Village Apartment With a Floating Mezzanine,2019-11-19T18:00:02.000Z,https://i.ytimg.com/vi/O-b3eAo0Yv4/default.jpg,"['371553', '9041', '198', '298']"
dS3njIz_Qzs,Inside David Harbour’s Custom-Renovated New York Loft | Open Door | Architectural Digest,2019-11-14T17:00:13.000Z,https://i.ytimg.com/vi/dS3njIz_Qzs/default.jpg,"['3577648', '87226', '1385', '4839']"
VKXGKZl66Fo,Inside a $18.5M Miami Beach Party House | On The Market,2019-11-13T17:00:07.000Z,https://i.ytimg.com/vi/VKXGKZl66Fo/default.jpg,"['615029', '9133', '365', '546']"
zgacuXdzCmw,Inside Tyler Perry’s 300-Acre Studio Compound in Atlanta | Open Door | Architectural Digest,2019-11-07T17:00:05.000Z,https://i.ytimg.com/vi/zgacuXdzCmw/default.jpg,"['4047053', '109212', '1542', '8125']"
k58GhBzPJz4,Inside a $5.5M Floating Mansion in Miami | On The Market | Architectural Digest,2019-11-04T17:00:09.000Z,https://i.ytimg.com/vi/k58GhBzPJz4/default.jpg,"['4446425', '61672', '1584', '5396']"
VxvfhuxOE1I,Inside Sheryl Crow's Country Home With A Recording Studio in a Barn | Open Door,2019-10-28T16:05:42.000Z,https://i.ytimg.com/vi/VxvfhuxOE1I/default.jpg,"['985277', '10003', '538', '1144']"
7pEeYUdlq6U,Inside a $11.95M 70-Acre Estate With Its Own Greek Amphitheater | On the Market,2019-10-24T16:00:01.000Z,https://i.ytimg.com/vi/7pEeYUdlq6U/default.jpg,"['952518', '17281', '458', '1032']"
gH1HEihmgL4,Amateurs & Experts Guess How Much an LA Mansion On Sunset Blvd Costs | Architectural Digest,2019-10-18T16:00:06.000Z,https://i.ytimg.com/vi/gH1HEihmgL4/default.jpg,"['138976', '2244', '104', '174']"
uZDNGVmHxn4,Inside NBA Star JJ Redick's Brooklyn Warehouse Apartment | Open Door | Architectural Digest,2019-10-16T16:00:13.000Z,https://i.ytimg.com/vi/uZDNGVmHxn4/default.jpg,"['2718417', '39545', '1331', '2605']"
FvNpU_9yiVg,Inside an $18.5M Las Vegas Estate with a 21 Foot Waterfall | On the Market | Architectural Digest,2019-10-14T16:00:02.000Z,https://i.ytimg.com/vi/FvNpU_9yiVg/default.jpg,"['629251', '10112', '398', '847']"
FIDsKWis3jo,Inside Nicole Scherzinger's LA House with a Cozy Home Theater | Open Door | Architectural Digest,2019-10-11T19:05:27.000Z,https://i.ytimg.com/vi/FIDsKWis3jo/default.jpg,"['10034360', '150359', '3593', '8766']"
u0N3dhH9yik,Inside a $9.75M NYC Townhouse with a Prohibition Era Tunnel | On the Market | Architectural Digest,2019-10-09T16:07:28.000Z,https://i.ytimg.com/vi/u0N3dhH9yik/default.jpg,"['330365', '4545', '525', '791']"
nQEOK8I-Czc,Inside a $195 Million Bel Air Estate With Secret Tunnels | On the Market | Architectural Digest,2019-10-04T19:30:02.000Z,https://i.ytimg.com/vi/nQEOK8I-Czc/default.jpg,"['8369092', '98149', '3788', '14769']"
